prefix,total_count,entropy,max_byte,max_count,nz
0a0ae590b3e8888d,1,0,e4,1,255
0a0ae590b3e8888de4,1,0,ba,1,255
0a0ae5a4,10,1.37095,aa,6,253
0a0ae5a48f,2,0,e4,2,255
0a0ae5a48fe4,1,0,be,1,255
0a0ae5a48fe4be,1,0,af,1,255
0a0ae5a48fe4beaf,1,0,e7,1,255
0a0ae5a48fe4beafe7,1,0,b6,1,255
0a0ae5a4a9,2,0,e7,2,255
0a0ae5a4a9e7,1,0,ab,1,255
0a0ae5a4a9e7ab,1,0,ba,1,255
0a0ae5a4a9e7abba,1,0,e4,1,255
0a0ae5a4a9e7abbae4,1,0,ba,1,255
0a0ae5a4aa,6,0.918296,e5,4,254
0a0ae5a4aae5,2,1,8f,1,254
0a0ae5a4aae58f,1,0,94,1,255
0a0ae5a4aae58f94,1,0,e7,1,255
0a0ae5a4aae58f94e7,1,0,8e,1,255
0a0ae5a4aae5b0,1,0,89,1,255
0a0ae5a4aae5b089,1,0,e9,1,255
0a0ae5a4aae5b089e9,1,0,83,1,255
0a0ae5a4aae8,1,0,88,1,255
0a0ae5a4aae888,1,0,88,1,255
0a0ae5a4aae88888,1,0,e4,1,255
0a0ae5a4aae88888e4,1,0,b8,1,255
0a0ae5a7,2,0,8b,2,255
0a0ae5a78b,2,0,e8,2,255
0a0ae5a78be8,1,0,88,1,255
0a0ae5a78be888,1,0,88,1,255
0a0ae5a78be88888,1,0,e6,1,255
0a0ae5a78be88888e6,1,0,9c,1,255
0a0ae5ad,2,0,ab,2,255
0a0ae5adab,2,0,e6,2,255
0a0ae5adabe6,1,0,81,1,255
0a0ae5adabe681,1,0,a9,1,255
0a0ae5adabe681a9,1,0,e4,1,255
0a0ae5adabe681a9e4,1,0,bd,1,255
0a0ae5ae,22,1.0958,8b,16,253
0a0ae5ae89,4,1,e4,2,254
0a0ae5ae89e4,1,0,b8,1,255
0a0ae5ae89e4b8,1,0,b0,1,255
0a0ae5ae89e4b8b0,1,0,e5,1,255
0a0ae5ae89e4b8b0e5,1,0,9c,1,255
0a0ae5ae89e5,1,0,9f,1,255
0a0ae5ae89e59f,1,0,8e,1,255
0a0ae5ae89e59f8e,1,0,e5,1,255
0a0ae5ae89e59f8ee5,1,0,b9,1,255
0a0ae5ae8b,16,2.15564,e6,6,251
0a0ae5ae8be5,2,0,85,2,255
0a0ae5ae8be585,2,0,83,2,255
0a0ae5ae8be58583,2,0,e5,2,255
0a0ae5ae8be58583e5,2,0,98,2,255
0a0ae5ae8be6,3,0.918296,99,2,254
0a0ae5ae8be699,2,0,82,2,255
0a0ae5ae8be69982,2,0,e6,2,255
0a0ae5ae8be69982e6,2,0,9c,2,255
