byte_offset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,514,45,44,33,21,20,13,7,36,52,31,20,7,5,3,5,28,12,3,0,8,62,0,11,4,2,4,0,0,5,3,4,33,3,4,1,4,1,11,3,2,7,4,0,2,17,6,4,6,2,6,1,3,7,1,12,1,0,5,1,1,0,2,12,15,6,10,2,6,11,7,0,3,6,3,0,1,2,1,10,4,0,10,13,18,33,11,9,2,1,1,0,0,0,2,4,7,14,6,7,9,27,6,3,2,10,1,1,7,6,12,16,4,1,16,12,17,4,6,23,2,1,1,0,3,1,1,3,21,7,3,1,6,18,5,13,15,0,7,6,3,1,0,0,2,0,2,0,4,1,0,4,0,1,0,0,0,0,1,2,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,3,4,0,0,0,0,0,0,1,20,9,4,3,5,8,2,0,4,0,3,1,4,9,4,0,3,2,4,3,2,2,3,2,1,0,1,0,0,4,2,28,4,2,0,2,1,6,11,0,3,3,0,1,1,2,0,0,4,0,1,0,5,6,4,55,2,5,3,0,7,8,11,37
128,451,42,45,33,22,19,12,7,37,53,33,21,9,5,4,6,25,12,4,0,6,66,1,8,5,2,4,0,0,7,3,4,36,2,4,1,4,1,11,3,2,7,4,0,3,17,8,4,6,2,6,1,3,7,1,11,1,0,6,1,1,0,2,12,14,6,10,2,6,10,7,0,3,9,4,0,1,2,2,10,4,0,12,15,19,34,11,9,1,2,1,0,0,1,3,3,7,16,6,7,9,28,9,4,2,17,1,1,9,7,15,17,4,1,16,15,20,4,6,24,3,1,1,0,2,1,1,2,22,7,3,1,6,18,5,17,16,0,7,6,3,1,0,0,3,0,2,0,4,1,0,4,1,1,1,0,2,0,1,2,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,5,4,0,0,0,0,0,0,1,23,11,5,4,4,6,2,0,4,0,3,1,4,9,4,0,3,2,3,3,2,2,3,1,1,0,0,0,0,2,2,28,4,2,0,2,1,5,10,0,3,3,0,1,1,2,0,0,4,0,1,0,4,6,4,60,1,4,3,1,7,8,11,38
256,470,40,43,29,22,14,10,7,41,51,33,17,8,5,9,6,24,9,4,0,5,63,1,8,5,2,4,0,0,7,3,3,34,2,4,1,5,1,10,4,2,7,4,0,3,17,8,4,7,2,6,1,3,5,1,9,1,0,6,1,1,0,2,12,12,5,8,2,6,7,7,0,3,9,4,0,1,2,2,10,3,0,12,15,19,32,11,9,1,2,1,1,0,2,3,2,6,16,8,7,9,33,10,5,2,22,1,1,11,12,18,21,6,1,21,19,24,5,8,24,5,4,2,0,2,2,1,0,19,6,3,1,5,16,4,16,16,0,7,6,3,1,0,0,4,0,3,0,5,1,0,4,2,1,1,0,2,0,1,0,7,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,4,0,0,0,0,0,0,1,23,10,5,3,2,1,2,0,4,0,3,1,4,9,3,0,3,2,3,3,2,2,2,1,1,0,0,1,0,1,2,28,4,0,0,2,1,4,10,0,3,3,0,1,1,2,0,0,4,0,1,0,4,6,3,59,0,0,3,1,6,8,11,35
384,412,42,41,30,24,15,11,7,44,48,34,17,9,5,10,6,25,11,4,0,5,62,1,9,5,2,3,0,0,8,3,3,35,2,3,1,5,2,10,4,2,7,4,0,3,17,8,4,7,2,7,2,2,5,1,10,1,0,6,1,1,0,2,12,12,5,8,3,6,7,7,0,3,9,4,0,2,2,2,10,2,0,12,15,20,32,11,9,1,2,1,1,0,2,3,2,6,18,8,8,9,39,10,5,4,22,1,2,13,14,18,23,6,1,26,21,28,7,9,25,5,4,3,0,2,2,1,0,20,7,3,1,5,16,4,16,16,0,8,6,3,1,0,0,4,1,3,0,6,1,0,4,2,1,2,0,2,0,1,0,8,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,6,4,0,0,0,0,0,1,1,19,9,4,3,2,1,4,0,3,0,3,1,4,9,2,0,3,2,3,3,4,2,3,1,0,0,0,1,0,1,1,26,3,0,0,2,1,4,13,0,3,3,0,1,2,2,0,0,4,0,1,0,4,6,6,61,0,0,3,3,5,8,11,32
512,360,38,43,30,25,15,11,7,46,46,31,21,10,3,10,6,26,11,3,0,5,63,1,9,5,2,3,0,0,8,3,2,42,2,3,1,5,3,10,5,2,7,5,0,3,15,8,3,7,4,9,2,2,5,1,10,2,1,9,1,2,0,2,12,11,5,7,4,6,8,8,1,3,8,4,0,2,2,2,7,2,0,14,15,21,31,14,9,1,2,1,1,0,2,3,1,6,21,9,10,13,45,11,5,4,22,1,2,15,17,19,27,6,1,26,21,35,9,8,27,5,4,4,0,4,2,1,0,21,7,3,1,5,16,4,16,16,0,8,5,3,1,0,0,4,1,3,0,4,2,0,4,2,1,2,0,2,0,1,0,8,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,8,4,0,0,0,0,0,1,1,18,10,3,3,2,1,4,0,3,1,0,1,4,9,2,0,3,2,2,3,4,2,3,1,0,0,0,1,0,0,1,25,2,0,0,2,1,4,13,0,3,3,0,0,2,2,0,0,4,0,1,0,3,6,8,66,0,0,2,6,7,7,10,25
640,355,38,44,27,21,11,11,7,47,44,33,20,10,3,10,7,26,7,3,2,5,57,2,6,5,2,3,0,0,8,3,2,46,1,3,1,7,3,9,5,1,7,5,0,2,15,8,3,7,6,8,3,2,3,1,10,2,1,12,1,2,0,2,12,9,5,6,4,5,11,7,1,4,9,4,0,2,3,2,7,2,0,13,16,21,31,9,8,1,2,1,1,0,2,3,1,7,23,9,12,17,49,11,5,4,22,1,2,17,19,19,29,6,1,28,21,41,11,8,29,5,4,4,0,4,2,1,0,25,7,3,1,5,16,4,17,12,0,7,5,3,1,0,0,4,1,3,0,4,3,0,4,2,1,2,0,2,0,1,0,7,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,9,3,0,0,1,1,0,1,1,16,10,3,3,1,1,3,0,4,1,0,1,4,9,0,0,2,2,2,3,3,2,3,1,0,0,0,1,0,0,0,21,3,0,0,2,1,4,12,0,2,3,0,0,2,2,0,0,4,0,1,0,3,5,8,63,0,0,5,7,6,7,11,27
768,345,37,38,28,19,9,10,7,43,46,31,24,15,3,10,6,27,6,3,2,5,54,2,6,6,2,3,0,0,7,3,2,48,1,2,1,8,4,9,5,1,7,4,0,2,14,8,2,3,6,7,2,2,3,1,12,2,1,12,1,2,0,1,12,9,5,6,4,4,11,7,1,4,13,3,0,3,5,3,7,2,0,14,16,21,33,6,8,2,2,1,1,0,2,3,1,7,20,7,12,18,49,11,5,4,23,1,2,16,19,22,27,6,0,28,19,39,11,10,27,6,4,6,0,4,2,1,0,25,7,3,1,4,18,5,18,12,0,6,5,2,1,0,0,4,1,3,0,4,3,0,4,2,1,2,0,2,0,1,0,7,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,9,2,0,0,1,1,0,1,1,21,10,3,3,1,1,3,0,3,1,0,1,4,10,0,0,2,2,2,3,3,2,3,1,1,0,0,1,0,0,0,24,4,0,1,2,1,4,12,0,2,3,0,0,2,2,0,0,3,0,1,0,3,4,8,66,1,0,7,8,6,6,12,34
896,359,37,37,27,20,8,8,6,41,33,38,24,14,4,9,4,32,6,1,2,4,56,2,8,5,2,2,0,1,7,4,6,48,1,2,0,8,6,9,5,1,7,3,0,2,14,7,2,2,6,7,2,1,3,1,14,2,1,10,1,1,0,1,12,9,5,6,4,4,11,6,1,3,12,3,0,3,4,4,7,2,0,13,15,21,32,7,8,2,2,2,1,0,2,4,3,7,18,7,12,15,47,10,4,5,20,2,2,14,18,19,25,8,0,27,19,38,10,8,24,6,4,7,0,5,2,1,1,26,8,3,1,3,21,8,19,12,0,6,5,2,1,0,0,4,1,3,0,4,3,0,4,2,1,2,0,2,0,0,4,8,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,10,2,0,0,1,1,0,1,1,23,10,3,3,1,1,3,0,3,1,0,1,3,9,0,0,2,2,2,3,2,2,3,2,1,0,0,1,0,0,0,25,5,0,1,2,0,4,12,0,2,3,0,0,2,0,0,0,4,0,0,0,4,5,8,55,1,0,8,8,6,6,13,45
1024,320,37,41,32,20,8,9,8,40,33,43,29,14,4,10,5,34,6,1,2,4,59,2,11,5,2,2,0,2,7,4,9,46,1,2,0,8,6,9,5,1,7,3,0,3,10,6,1,3,6,7,2,1,4,1,14,2,1,9,1,1,0,1,10,9,3,3,4,4,10,5,1,3,11,3,0,3,4,6,0,2,0,10,11,15,30,5,8,2,2,2,1,0,2,4,3,7,18,7,11,15,47,9,4,4,21,2,3,16,18,20,23,8,0,22,18,37,10,8,23,6,4,10,0,5,2,1,2,29,8,3,1,3,21,8,23,12,0,6,5,3,1,0,0,4,1,3,0,4,3,0,4,2,1,2,0,2,0,0,5,8,0,3,0,3,0,0,0,2,0,0,0,1,0,0,0,2,2,0,0,0,0,1,11,2,0,0,1,1,0,1,1,24,13,3,3,1,1,4,0,4,1,0,1,3,9,0,0,3,2,2,3,2,2,3,3,2,0,0,1,0,0,0,27,5,0,1,2,0,4,13,0,2,3,0,0,2,0,0,0,6,0,0,0,4,7,8,58,2,0,8,8,6,6,20,52
1152,278,37,48,34,18,8,9,8,41,32,44,31,23,4,9,5,39,6,3,2,3,59,2,11,6,2,2,0,2,9,4,9,47,1,4,0,10,6,9,5,1,7,1,0,3,6,6,1,3,6,7,2,2,4,1,16,2,1,8,1,1,0,1,7,10,3,6,4,5,10,3,1,3,12,4,0,2,4,6,0,2,0,8,9,13,28,5,8,2,1,3,1,0,2,3,2,8,17,7,11,15,49,9,3,3,21,2,3,17,20,21,22,7,0,22,19,35,10,8,24,7,6,10,0,5,2,1,2,34,7,3,1,3,24,7,23,13,0,6,4,4,1,0,0,4,1,3,0,3,3,0,4,2,1,2,0,2,0,0,5,8,1,3,0,3,0,0,0,2,0,0,0,1,0,0,0,2,2,0,0,0,0,1,11,2,0,0,1,1,0,1,1,30,13,3,3,1,1,4,0,4,1,0,1,3,9,0,0,3,1,2,3,2,2,3,3,2,0,0,1,0,0,0,27,6,0,1,2,0,5,13,0,2,3,0,0,2,0,0,0,6,1,0,0,4,7,7,59,3,2,8,8,7,5,21,51
1280,271,42,51,29,20,10,9,8,38,26,42,29,22,4,11,4,41,7,3,3,2,63,3,13,6,2,2,0,2,9,4,9,50,1,4,0,10,6,7,4,1,7,1,0,2,0,6,1,5,8,7,2,2,4,1,16,3,1,8,0,1,0,2,3,10,3,5,3,4,9,3,1,3,11,4,0,2,4,6,0,2,0,6,7,11,27,6,7,2,1,3,1,0,2,3,2,8,17,6,11,16,54,9,4,3,23,2,3,17,22,20,21,7,0,26,24,36,9,10,22,7,7,10,0,4,2,0,2,32,6,3,1,3,24,7,25,13,0,8,4,5,1,0,0,4,1,2,0,3,3,0,4,2,1,2,0,2,0,0,5,8,1,3,0,3,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,1,11,1,0,0,1,2,0,1,1,32,13,3,3,1,1,4,0,6,1,0,1,3,9,0,0,5,1,1,2,2,2,3,3,2,0,0,1,0,0,0,26,6,0,1,2,0,5,11,0,1,3,0,0,2,0,0,0,9,1,0,0,4,7,8,56,4,2,8,8,8,7,21,51
1408,252,46,49,29,18,8,10,8,40,24,41,29,23,4,11,4,42,8,3,3,3,58,5,13,6,2,2,0,3,11,3,9,56,1,4,0,10,6,6,4,1,3,1,0,2,1,5,1,7,10,7,2,2,3,1,16,3,1,8,0,1,0,2,2,7,3,5,3,5,8,3,1,3,11,5,0,2,4,5,0,2,0,8,8,13,29,6,7,1,1,3,1,0,2,2,2,9,17,6,11,18,58,9,6,3,27,2,3,17,24,22,21,8,0,30,29,38,12,12,23,7,9,10,0,4,2,0,2,30,3,1,1,3,24,6,21,12,0,9,1,5,1,0,0,4,1,2,0,3,4,0,1,2,1,2,0,2,0,0,5,8,1,3,0,3,0,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,11,1,0,0,1,2,0,1,1,33,14,3,3,1,1,4,0,7,1,0,1,3,9,0,0,5,0,1,2,2,2,3,3,2,0,0,1,0,0,0,21,6,0,1,2,0,6,10,0,1,1,0,0,2,0,0,0,10,1,0,0,5,7,9,56,4,2,8,8,7,6,20,48
1536,243,40,47,22,20,10,12,8,46,23,39,29,23,4,12,4,46,12,4,4,3,57,5,12,5,2,4,0,3,16,3,9,54,0,4,2,12,5,2,4,1,3,2,0,3,1,6,0,8,10,8,2,4,4,1,20,3,1,8,0,1,0,2,1,7,4,6,3,7,8,3,1,2,11,4,0,3,3,5,0,2,0,8,8,13,25,5,1,1,1,3,1,0,2,2,2,9,17,6,11,18,61,9,6,3,27,2,3,17,23,22,21,10,0,30,29,38,14,12,26,7,9,10,0,4,2,0,2,30,4,1,0,5,24,5,20,12,0,10,0,4,1,0,0,3,1,2,0,2,4,0,0,2,1,2,0,2,0,1,5,4,1,3,0,2,0,1,0,2,0,0,0,1,0,0,0,1,2,1,0,0,1,1,11,1,0,0,1,2,0,1,1,34,14,3,3,3,1,4,0,7,1,0,1,3,9,0,0,6,0,1,0,2,2,3,3,2,0,0,1,0,0,0,20,7,0,1,2,0,4,6,0,1,1,0,0,2,0,0,0,11,1,1,0,5,7,10,55,4,2,8,8,7,8,20,48
1664,246,40,48,27,20,11,14,8,43,26,40,29,24,5,14,4,49,10,5,4,5,57,5,16,8,2,4,0,4,22,3,9,50,0,4,4,12,5,2,4,1,3,2,0,3,1,4,0,8,10,10,2,4,7,2,19,3,1,8,0,1,0,2,1,8,4,8,2,8,8,3,1,4,10,4,0,3,3,5,0,1,0,8,8,13,23,5,1,1,1,3,1,0,2,2,2,10,14,7,10,15,58,8,6,3,24,2,3,16,22,17,19,10,0,28,26,33,13,10,25,6,9,10,0,4,2,0,2,31,7,2,0,6,24,5,21,12,0,10,0,3,1,0,0,3,1,1,0,2,4,0,0,3,0,2,0,2,0,1,5,5,1,3,0,2,0,2,0,2,0,0,0,1,0,0,0,0,2,1,1,0,1,1,10,0,0,0,1,2,0,1,2,33,15,2,2,2,0,4,0,8,1,0,1,2,9,0,0,5,0,1,0,3,1,3,3,2,0,0,1,0,0,0,20,9,0,1,1,0,3,7,0,1,1,0,0,2,0,0,0,11,1,1,0,5,7,11,55,4,3,8,8,7,9,18,44
