byte_offset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
1280,218,50,93,62,50,9,13,7,37,73,45,17,19,15,13,9,26,20,9,11,8,43,11,22,7,2,9,2,14,19,7,1,32,14,13,1,8,0,9,4,1,1,10,5,6,22,4,8,9,8,4,3,1,4,3,14,1,0,4,0,4,17,2,5,13,4,2,6,10,8,2,0,3,6,0,2,5,2,9,1,1,1,5,1,5,3,1,15,2,0,4,0,7,0,3,39,6,11,3,3,10,5,12,2,2,15,0,0,7,11,16,19,7,0,12,9,9,4,5,25,3,5,2,0,2,4,12,0,23,11,7,2,5,17,6,30,12,0,9,12,1,0,0,0,4,0,1,5,8,5,3,0,0,0,1,0,1,0,0,0,15,2,4,5,4,6,4,0,2,2,1,0,0,1,6,2,2,1,0,0,3,0,2,1,0,0,3,0,0,0,0,3,39,9,4,1,2,5,2,0,1,5,3,0,1,3,1,0,1,3,1,1,3,3,3,6,0,0,4,0,1,0,3,1,2,4,1,1,2,5,6,1,4,2,1,0,2,2,2,0,5,3,1,0,4,4,8,61,3,10,1,2,5,8,10,11
1408,214,62,83,65,35,9,13,7,37,62,46,21,17,15,14,9,26,20,8,11,13,45,11,24,6,2,9,2,14,25,6,1,34,15,13,2,7,0,9,2,1,0,9,5,6,15,4,7,8,8,3,2,0,4,1,15,1,0,4,0,3,17,2,5,13,4,2,6,10,8,2,0,2,6,0,2,5,2,8,1,1,1,5,1,5,3,1,15,2,0,4,0,7,0,3,23,6,11,3,3,10,5,12,2,2,15,0,0,7,12,16,19,6,0,12,9,10,4,5,26,3,5,2,0,2,4,10,0,23,11,7,2,5,18,8,30,13,0,9,12,2,0,0,0,6,0,1,5,8,5,4,0,0,0,3,0,1,0,0,0,16,2,4,5,4,6,4,0,2,2,1,0,1,1,7,2,3,3,1,0,4,0,2,2,0,0,2,0,1,0,0,4,35,13,4,3,2,6,2,0,1,5,2,0,2,4,1,0,1,3,2,1,2,3,3,6,1,0,5,0,1,0,3,1,2,4,1,1,3,5,7,1,4,2,1,0,2,2,2,0,5,3,2,1,6,4,8,68,2,11,1,2,7,8,11,11
1536,207,76,73,68,20,9,13,7,38,47,50,25,21,15,15,11,26,20,7,12,14,47,11,25,6,2,10,2,16,30,6,1,34,15,14,2,8,0,9,2,1,0,9,5,6,8,5,6,7,4,3,1,1,4,2,18,1,0,3,0,3,17,3,5,13,4,2,6,11,8,2,0,2,6,0,2,5,2,11,1,2,1,4,1,4,3,1,15,3,0,3,0,7,0,3,7,6,11,3,3,11,6,11,2,2,15,0,0,7,12,16,19,6,0,11,9,10,4,5,26,3,5,2,0,3,4,9,0,26,12,7,3,4,18,9,32,13,0,9,12,2,0,0,0,5,0,1,5,9,5,3,0,0,0,3,0,0,2,0,0,16,2,1,5,4,6,4,0,2,2,1,0,1,1,7,2,3,3,1,0,4,0,2,4,0,0,2,0,1,0,0,4,31,13,4,11,2,6,2,0,1,5,2,0,2,4,1,0,1,3,3,1,2,3,3,6,1,0,5,0,1,0,3,1,4,4,1,1,3,5,7,1,4,2,1,0,0,2,2,0,9,3,2,1,6,4,8,69,2,11,1,2,8,10,11,13
1664,201,72,70,67,18,9,12,6,38,45,50,24,22,16,15,11,30,22,7,15,13,46,10,25,6,2,9,2,13,29,5,0,35,14,14,2,9,0,9,2,1,0,9,5,5,6,5,6,7,4,3,0,1,4,2,19,2,0,3,0,3,17,3,5,13,4,4,6,13,8,2,0,2,6,0,2,5,2,11,1,2,1,5,3,4,2,1,14,3,0,3,0,7,0,3,4,8,12,3,3,12,11,10,2,2,16,0,0,8,13,17,19,6,1,13,10,10,5,6,29,3,5,2,0,3,4,9,1,26,15,6,3,6,19,9,34,13,0,9,13,2,0,0,0,4,0,1,7,9,4,3,0,1,0,3,0,0,3,0,0,16,2,1,5,4,6,4,0,0,2,1,0,1,1,6,2,3,3,1,0,4,0,2,4,0,0,2,0,1,0,0,4,30,11,4,12,2,5,2,0,2,5,2,0,2,4,1,0,2,3,3,2,1,3,4,6,1,0,6,0,1,0,4,1,6,5,1,1,3,4,6,1,4,2,1,0,1,2,2,0,6,1,2,1,6,2,7,70,2,9,1,2,6,12,8,11
1792,217,73,70,65,19,9,11,6,34,42,51,25,22,15,15,11,32,24,7,16,13,48,7,26,4,2,5,2,12,27,5,0,36,13,12,2,8,0,9,2,1,0,6,5,5,6,5,5,8,4,3,0,1,3,3,17,2,0,3,0,3,17,3,5,10,4,4,6,13,7,3,0,3,5,1,2,6,2,10,1,3,1,3,3,3,1,2,12,3,0,2,0,6,0,2,4,9,12,2,3,12,11,10,2,2,16,0,0,8,13,18,19,7,1,13,11,10,5,6,27,4,5,3,0,3,2,8,1,26,15,6,3,7,19,9,37,13,0,9,13,2,0,0,0,4,1,1,7,9,4,1,0,1,0,3,0,0,3,0,0,17,2,1,4,4,5,4,0,0,2,1,0,2,1,5,2,3,3,1,0,5,0,2,8,1,0,2,0,2,0,0,4,28,13,4,12,1,3,2,0,2,5,2,0,9,7,1,0,2,3,3,2,2,3,5,7,1,0,6,0,1,0,4,2,6,5,1,1,3,4,9,1,2,2,1,0,1,2,2,0,5,6,2,1,6,2,7,64,2,4,1,2,7,11,7,10
1920,229,69,69,61,19,9,10,8,33,39,48,25,22,18,15,11,32,22,6,14,13,42,4,26,3,2,4,1,12,29,7,1,37,11,10,3,9,1,9,3,1,0,6,4,5,6,4,5,10,7,3,0,1,3,3,16,3,0,1,0,3,16,3,5,10,4,4,9,11,7,3,0,4,5,1,1,6,2,9,1,3,1,4,3,3,1,3,8,4,0,2,0,6,0,2,3,9,12,2,3,11,11,8,2,2,16,0,0,8,13,18,19,9,1,12,11,10,5,6,27,3,4,3,0,4,2,7,1,26,15,6,3,7,16,8,38,13,0,9,13,3,0,0,0,4,1,1,7,8,4,1,0,3,0,3,0,0,3,0,0,17,2,1,2,4,3,4,0,2,2,1,0,2,1,5,2,4,3,2,0,5,0,2,8,1,0,2,0,2,0,0,4,33,19,5,12,1,2,6,6,1,5,5,0,9,7,1,0,2,3,3,2,2,3,5,7,2,0,6,0,1,0,4,2,6,5,1,1,3,3,7,1,3,2,0,0,1,1,2,0,6,6,2,1,6,2,6,62,3,3,1,2,7,10,7,11
2048,221,71,69,59,21,8,10,7,31,41,49,28,23,20,14,11,36,26,15,17,13,39,3,27,3,1,2,1,13,27,7,1,36,9,7,3,9,1,10,3,2,0,1,2,5,6,4,5,10,8,3,0,1,2,4,16,3,0,0,0,3,8,3,5,9,4,4,10,10,7,3,0,5,4,1,1,6,2,5,1,4,1,3,3,3,1,5,4,3,0,1,0,2,0,0,3,9,12,2,3,12,12,8,2,3,16,0,0,8,13,18,19,9,1,13,11,10,5,6,25,3,4,5,0,4,0,4,1,26,15,8,3,7,14,7,40,13,0,9,13,3,2,1,0,5,1,2,7,9,4,1,0,3,0,4,0,0,3,0,0,18,2,1,1,3,2,4,0,2,2,0,0,2,1,4,2,6,4,2,0,5,0,2,8,1,0,2,2,2,0,0,4,32,19,5,12,2,2,7,6,2,5,6,0,9,7,1,0,4,3,3,2,2,3,6,8,2,0,7,0,1,0,4,2,6,5,1,1,3,3,7,1,3,2,2,2,2,1,2,0,5,6,2,1,6,2,5,63,3,3,3,2,7,9,6,14
2176,249,80,67,55,22,16,10,7,30,35,49,27,21,20,14,10,35,25,18,18,12,37,3,24,5,0,1,1,10,27,6,1,32,9,7,3,9,1,10,3,2,0,0,2,5,6,4,5,9,8,2,0,1,2,4,15,3,0,0,0,3,7,3,5,8,9,10,14,11,8,2,1,5,6,1,2,7,2,8,3,7,1,3,7,4,3,5,2,3,1,1,0,2,0,0,2,9,10,4,2,11,12,8,2,3,15,1,0,7,11,17,18,9,1,13,11,10,5,5,23,3,4,5,0,4,0,4,1,25,14,8,3,7,10,6,38,12,0,9,13,3,2,1,0,5,1,2,6,9,4,1,0,3,0,4,0,0,3,0,0,17,2,0,1,3,2,3,0,2,2,0,0,2,0,4,1,6,4,3,0,5,0,2,8,1,0,2,2,2,0,0,4,28,19,5,12,2,2,6,6,2,5,6,0,9,7,1,0,4,3,2,2,1,3,6,7,3,0,6,0,1,0,3,2,6,5,1,1,3,1,8,1,2,2,3,2,2,1,2,0,5,6,2,1,6,2,5,57,3,3,3,2,6,8,6,12
2304,275,87,61,46,22,25,9,6,29,33,46,27,18,20,15,10,35,25,20,18,10,35,1,16,4,0,1,1,10,27,6,1,27,6,5,3,8,1,10,3,2,0,0,2,5,6,4,4,9,8,2,0,1,2,4,15,3,0,0,0,3,5,3,5,7,12,12,21,16,16,2,2,5,9,2,2,9,3,10,8,9,1,7,10,7,3,6,1,3,3,1,0,2,0,0,2,9,8,5,2,9,12,7,2,3,14,1,0,6,11,16,17,8,1,8,10,10,5,5,23,3,3,4,0,3,0,4,1,28,14,9,3,6,10,5,37,12,0,7,11,3,2,1,0,4,1,2,5,9,3,1,0,3,0,4,0,0,3,0,0,12,2,0,1,3,1,3,0,2,1,0,0,2,0,3,1,6,4,5,0,5,0,2,8,1,0,2,2,2,0,0,4,26,19,4,12,2,2,6,6,2,5,5,0,9,7,1,0,4,2,2,2,1,3,5,6,3,0,7,0,1,0,3,1,6,5,1,1,3,1,8,0,2,2,3,2,2,1,2,0,5,6,2,1,5,2,5,54,3,3,3,1,6,8,6,12
2432,299,89,58,39,25,35,9,5,28,27,43,26,18,17,14,9,34,24,22,18,10,35,1,14,3,0,1,1,10,26,6,1,23,6,5,3,8,1,10,3,2,0,0,2,4,5,4,4,9,8,2,0,1,2,4,15,3,0,0,0,3,5,3,4,7,13,13,23,22,28,5,2,5,14,2,2,11,4,13,10,11,1,9,13,9,6,6,1,3,4,1,0,1,0,0,2,8,7,7,2,9,11,6,2,3,13,1,0,5,10,15,15,8,1,8,9,10,5,5,20,3,2,5,0,3,0,4,1,28,13,9,3,6,8,5,34,12,0,5,7,3,2,1,0,4,1,2,5,9,1,1,0,3,0,4,0,0,3,0,0,12,2,0,0,2,1,3,0,2,0,1,0,2,0,2,1,6,4,6,0,3,0,2,8,1,0,2,2,2,0,0,3,26,18,4,11,2,2,6,6,2,4,5,0,9,5,1,0,4,1,2,2,1,2,5,6,3,0,7,0,0,0,3,1,6,4,1,1,2,1,8,0,2,2,4,2,2,0,2,0,5,6,2,1,5,2,5,49,3,3,3,1,5,6,5,11
